Date	Value
14-12-2021	843.43
13-12-2021	849.16
10-12-2021	841.32
09-12-2021	839.53
07-12-2021	842.32
06-12-2021	837.69
03-12-2021	837.72
02-12-2021	828.17
01-12-2021	837.55
30-11-2021	836.73
29-11-2021	829.94
26-11-2021	819.59
25-11-2021	811.70
24-11-2021	809.94
23-11-2021	808.14
22-11-2021	832.72
19-11-2021	834.57
18-11-2021	819.56
17-11-2021	806.24
16-11-2021	801.96
15-11-2021	797.80
12-11-2021	791.30
11-11-2021	791.71
10-11-2021	797.78
09-11-2021	806.61
08-11-2021	812.40
05-11-2021	815.58
04-11-2021	815.52
03-11-2021	814.42
02-11-2021	810.91
29-10-2021	805.47
28-10-2021	804.32
27-10-2021	806.55
26-10-2021	810.16
25-10-2021	816.58
22-10-2021	817.61
21-10-2021	811.55
20-10-2021	813.33
19-10-2021	820.29
18-10-2021	826.19
15-10-2021	816.81
14-10-2021	820.19
13-10-2021	827.56
12-10-2021	820.18
08-10-2021	813.62
07-10-2021	816.28
06-10-2021	810.63
05-10-2021	805.89
04-10-2021	803.90
01-10-2021	811.90
30-09-2021	803.59
29-09-2021	798.63
28-09-2021	795.48
27-09-2021	788.98
24-09-2021	787.24
23-09-2021	785.03
22-09-2021	785.10
21-09-2021	788.05
20-09-2021	780.59
16-09-2021	781.85
15-09-2021	783.25
14-09-2021	784.26
13-09-2021	789.91
10-09-2021	791.28
09-09-2021	787.51
08-09-2021	777.94
07-09-2021	770.33
06-09-2021	766.53
03-09-2021	768.36
02-09-2021	767.10
01-09-2021	775.14
31-08-2021	779.97
30-08-2021	784.39
27-08-2021	785.06
26-08-2021	783.03
25-08-2021	782.17
24-08-2021	783.30
23-08-2021	786.43
20-08-2021	789.98
19-08-2021	787.71
18-08-2021	789.62
17-08-2021	784.18
16-08-2021	774.25
13-08-2021	772.78
12-08-2021	773.01
11-08-2021	780.08
10-08-2021	787.40
09-08-2021	784.50
06-08-2021	776.69
05-08-2021	775.54
04-08-2021	774.54
03-08-2021	761.39
02-08-2021	760.20
30-07-2021	758.53
29-07-2021	767.29
28-07-2021	761.03
27-07-2021	764.21
26-07-2021	758.44
23-07-2021	750.81
22-07-2021	755.37
21-07-2021	758.85
20-07-2021	759.71
19-07-2021	754.17
15-07-2021	747.93
14-07-2021	746.56
13-07-2021	744.10
12-07-2021	748.70
09-07-2021	753.67
08-07-2021	751.36
07-07-2021	743.25
06-07-2021	734.66
05-07-2021	735.06
02-07-2021	737.79
01-07-2021	727.76
30-06-2021	735.28
29-06-2021	732.25
25-06-2021	731.10
24-06-2021	735.13
23-06-2021	749.34
22-06-2021	746.17
18-06-2021	735.69
17-06-2021	726.62
16-06-2021	725.11
15-06-2021	719.17
14-06-2021	720.28
11-06-2021	720.77
10-06-2021	718.98
09-06-2021	717.82
08-06-2021	716.06
07-06-2021	717.12
04-06-2021	719.93
03-06-2021	720.44
02-06-2021	721.52
01-06-2021	722.11
31-05-2021	724.92
28-05-2021	730.43
27-05-2021	732.82
26-05-2021	734.75
25-05-2021	727.09
24-05-2021	716.41
20-05-2021	715.31
19-05-2021	713.63
18-05-2021	715.62
17-05-2021	703.17
14-05-2021	708.64
13-05-2021	707.19
12-05-2021	700.04
11-05-2021	693.74
10-05-2021	694.47
07-05-2021	701.27
06-05-2021	703.09
05-05-2021	705.25
04-05-2021	706.29
03-05-2021	711.06
30-04-2021	705.09
29-04-2021	700.15
28-04-2021	702.02
27-04-2021	707.05
26-04-2021	712.54
23-04-2021	705.41
22-04-2021	696.80
21-04-2021	697.19
20-04-2021	700.96
19-04-2021	701.55
16-04-2021	701.98
15-04-2021	707.25
14-04-2021	708.71
13-04-2021	709.51
12-04-2021	711.23
09-04-2021	708.09
08-04-2021	714.21
07-04-2021	718.17
06-04-2021	717.90
05-04-2021	717.12
01-04-2021	721.82
31-03-2021	732.11
30-03-2021	736.17
29-03-2021	729.50
26-03-2021	730.82
25-03-2021	723.35
24-03-2021	720.62
23-03-2021	716.46
22-03-2021	717.96
19-03-2021	724.59
18-03-2021	730.93
17-03-2021	723.47
16-03-2021	721.49
15-03-2021	718.37
12-03-2021	718.40
11-03-2021	728.89
10-03-2021	733.42
09-03-2021	738.46
08-03-2021	733.11
05-03-2021	729.15
04-03-2021	731.30
03-03-2021	726.74
02-03-2021	721.20
01-03-2021	719.91
26-02-2021	708.04
25-02-2021	703.65
24-02-2021	706.76
23-02-2021	709.65
22-02-2021	707.12
19-02-2021	712.14
18-02-2021	719.78
17-02-2021	717.38
16-02-2021	718.45
15-02-2021	724.39
12-02-2021	722.52
11-02-2021	728.90
10-02-2021	733.13
09-02-2021	735.07
08-02-2021	736.65
05-02-2021	737.23
04-02-2021	730.53
03-02-2021	734.86
02-02-2021	731.66
01-02-2021	734.62
29-01-2021	741.40
28-01-2021	736.88
27-01-2021	731.00
26-01-2021	731.92
25-01-2021	724.26
22-01-2021	715.56
21-01-2021	730.38
20-01-2021	733.73
19-01-2021	736.11
18-01-2021	735.06
15-01-2021	735.35
14-01-2021	739.72
13-01-2021	725.24
12-01-2021	718.89
11-01-2021	713.28
08-01-2021	709.99
07-01-2021	696.18
06-01-2021	702.29
05-01-2021	702.93
04-01-2021	710.95
30-12-2020	711.24
29-12-2020	710.64
28-12-2020	710.26
24-12-2020	716.25
23-12-2020	728.96
22-12-2020	730.70
21-12-2020	723.85
18-12-2020	723.44
17-12-2020	735.09
16-12-2020	734.23
15-12-2020	731.58
14-12-2020	733.55
11-12-2020	738.17
10-12-2020	739.45
09-12-2020	744.82
07-12-2020	747.61
04-12-2020	752.03
03-12-2020	755.34
02-12-2020	760.16
01-12-2020	767.29
30-11-2020	766.69
27-11-2020	766.00
26-11-2020	771.68
25-11-2020	772.83
24-11-2020	765.96
23-11-2020	761.55
20-11-2020	758.62
19-11-2020	758.10
18-11-2020	767.05
17-11-2020	767.86
16-11-2020	766.70
13-11-2020	757.43
12-11-2020	757.42
11-11-2020	760.90
10-11-2020	753.75
09-11-2020	759.25
06-11-2020	752.01
05-11-2020	757.16
04-11-2020	758.53
03-11-2020	769.17
02-11-2020	771.92
30-10-2020	770.45
29-10-2020	775.56
28-10-2020	772.05
27-10-2020	779.57
26-10-2020	777.72
23-10-2020	781.41
22-10-2020	784.07
21-10-2020	786.66
20-10-2020	788.27
19-10-2020	795.68
