Fecha	Valor
13-08-2019	716.69
12-08-2019	712.04
09-08-2019	710.98
08-08-2019	718.55
07-08-2019	716.35
06-08-2019	721.7
05-08-2019	711.13
02-08-2019	704.88
01-08-2019	700.82
31-07-2019	699.98
30-07-2019	697.22
29-07-2019	696.62
26-07-2019	694.16
25-07-2019	691.36
24-07-2019	691.57
23-07-2019	688.28
22-07-2019	685.81
19-07-2019	683.27
18-07-2019	681.69
17-07-2019	679.48
15-07-2019	681.07
12-07-2019	683.38
11-07-2019	685.4
10-07-2019	688.88
09-07-2019	685.83
08-07-2019	683.12
05-07-2019	677.64
04-07-2019	680.48
03-07-2019	681.3
02-07-2019	677.62
01-07-2019	679.15
28-06-2019	679.86
27-06-2019	680.06
26-06-2019	678.32
25-06-2019	682.31
24-06-2019	683.41
21-06-2019	684.19
20-06-2019	693.99
19-06-2019	696.81
18-06-2019	699.52
17-06-2019	698.72
14-06-2019	696.25
13-06-2019	694.89
12-06-2019	693.6
11-06-2019	697.34
10-06-2019	692.28
07-06-2019	692.21
06-06-2019	693.25
05-06-2019	696.78
04-06-2019	704.59
03-06-2019	709.8
31-05-2019	707.86
30-05-2019	708.2
29-05-2019	703.48
28-05-2019	696.46
27-05-2019	694.84
24-05-2019	698.03
23-05-2019	696.7
22-05-2019	697.23
20-05-2019	696.61
17-05-2019	692.79
16-05-2019	692.62
15-05-2019	692.33
14-05-2019	693.04
13-05-2019	685.67
10-05-2019	686.43
09-05-2019	684.51
08-05-2019	683.49
07-05-2019	681.09
06-05-2019	678.68
03-05-2019	683.31
02-05-2019	678.71
30-04-2019	677.67
29-04-2019	673.86
26-04-2019	676.21
25-04-2019	672.83
24-04-2019	668.19
23-04-2019	663.91
22-04-2019	662.27
18-04-2019	660.48
17-04-2019	663.98
16-04-2019	662.86
15-04-2019	660.67
12-04-2019	664.19
11-04-2019	662.92
10-04-2019	663.15
09-04-2019	663.01
08-04-2019	664.17
05-04-2019	666.32
04-04-2019	667.55
03-04-2019	670.05
02-04-2019	672.56
01-04-2019	678.53
29-03-2019	681.09
28-03-2019	683.73
27-03-2019	679.02
26-03-2019	679.08
25-03-2019	676.6
22-03-2019	665.12
21-03-2019	666.13
20-03-2019	664.78
19-03-2019	667.21
18-03-2019	669.39
15-03-2019	670.62
14-03-2019	665.68
13-03-2019	667.09
12-03-2019	669.37
11-03-2019	670.83
08-03-2019	662.19
07-03-2019	658.4
06-03-2019	657.49
05-03-2019	659.07
04-03-2019	656.57
01-03-2019	651.79
28-02-2019	649.92
27-02-2019	649.8
26-02-2019	649.22
25-02-2019	651.36
22-02-2019	654.33
21-02-2019	654.52
20-02-2019	658.75
19-02-2019	660.82
18-02-2019	663.98
15-02-2019	665.9
14-02-2019	661.6
13-02-2019	660.49
12-02-2019	660.82
11-02-2019	656.46
08-02-2019	654.44
07-02-2019	653.9
06-02-2019	652.78
05-02-2019	653.8
04-02-2019	655.39
01-02-2019	657.81
31-01-2019	666.76
30-01-2019	669.6
29-01-2019	671.29
28-01-2019	667.04
25-01-2019	672.14
24-01-2019	672.41
23-01-2019	672.26
22-01-2019	672.42
21-01-2019	670.1
18-01-2019	671.37
17-01-2019	672.73
16-01-2019	673.76
15-01-2019	674.95
14-01-2019	675.15
11-01-2019	677.58
10-01-2019	678.09
09-01-2019	680.1
08-01-2019	679.69
07-01-2019	688.42
04-01-2019	697.64
03-01-2019	697.09
02-01-2019	694.77
28-12-2018	695.69
27-12-2018	693.78
26-12-2018	692.69
24-12-2018	691.87
21-12-2018	688.11
20-12-2018	688.46
19-12-2018	688.53
18-12-2018	685.13
17-12-2018	686.44
14-12-2018	681.17
13-12-2018	678.77
12-12-2018	679.9
11-12-2018	677.00
10-12-2018	674.04
07-12-2018	677.78
06-12-2018	671.79
05-12-2018	669.02
04-12-2018	666.49
03-12-2018	671.09
30-11-2018	669.43
29-11-2018	672.36
28-11-2018	675.97
27-11-2018	675.89
26-11-2018	673.31
23-11-2018	667.46
22-11-2018	669.45
21-11-2018	671.35
20-11-2018	670.05
19-11-2018	672.41
16-11-2018	678.49
15-11-2018	687.00
14-11-2018	688.76
13-11-2018	685.46
12-11-2018	681.41
09-11-2018	675.94
08-11-2018	676.13
07-11-2018	680.03
06-11-2018	682.78
05-11-2018	698.56
31-10-2018	693.31
30-10-2018	687.9
29-10-2018	690.01
26-10-2018	687.48
25-10-2018	686.88
24-10-2018	685.09
23-10-2018	680.21
22-10-2018	676.89
19-10-2018	674.68
18-10-2018	670.08
17-10-2018	670.45
16-10-2018	678.21
12-10-2018	683.7
11-10-2018	683.57
10-10-2018	683.49
09-10-2018	680.67
08-10-2018	672.6
05-10-2018	670.4
04-10-2018	659.3
03-10-2018	658.91
02-10-2018	656.25
01-10-2018	660.42
28-09-2018	661.5
27-09-2018	663.9
26-09-2018	670.84
25-09-2018	667.17
24-09-2018	666.44
21-09-2018	673.74
20-09-2018	684.86
14-09-2018	682.79
13-09-2018	691.06
12-09-2018	698.43
11-09-2018	692.62
10-09-2018	688.44
07-09-2018	684.97
06-09-2018	691.05
05-09-2018	693.13
04-09-2018	684.13
03-09-2018	680.48
31-08-2018	675.38
30-08-2018	666.81
29-08-2018	658.45
28-08-2018	656.81
27-08-2018	662.64
24-08-2018	665.58
23-08-2018	660.67
22-08-2018	665.02
21-08-2018	669.82
20-08-2018	668.44
17-08-2018	666.13
16-08-2018	661.75
14-08-2018	658.7
13-08-2018	653.98
10-08-2018	645.95
09-08-2018	644.1
08-08-2018	642.11
07-08-2018	646.78
06-08-2018	643.83
03-08-2018	644.32
02-08-2018	641.05
01-08-2018	639.2
31-07-2018	638.79
30-07-2018	643.19
27-07-2018	648.4
26-07-2018	649.14
25-07-2018	655.72
24-07-2018	662.43
23-07-2018	659.09
20-07-2018	661.71
19-07-2018	655.52
18-07-2018	653.89
17-07-2018	648.59
13-07-2018	648.05
12-07-2018	652.37
11-07-2018	650.43
10-07-2018	651.74
09-07-2018	657.33
06-07-2018	655.29
05-07-2018	653.2
04-07-2018	652.05
03-07-2018	651.21
29-06-2018	647.95
28-06-2018	645.87
27-06-2018	640.21
26-06-2018	639.38
25-06-2018	637.45
22-06-2018	640.69
21-06-2018	639.03
20-06-2018	641.51
19-06-2018	637.35
18-06-2018	636.35
15-06-2018	633.99
14-06-2018	634.57
13-06-2018	634.17
12-06-2018	632.81
11-06-2018	630.45
08-06-2018	630.63
07-06-2018	629.21
06-06-2018	633.92
05-06-2018	630.38
04-06-2018	631.86
01-06-2018	631.29
31-05-2018	628.33
30-05-2018	627.52
29-05-2018	624.39
28-05-2018	625.29
25-05-2018	624.31
24-05-2018	625.01
23-05-2018	627.17
22-05-2018	637.03
18-05-2018	632.36
17-05-2018	630.89
16-05-2018	632.73
15-05-2018	622.94
14-05-2018	618.5
11-05-2018	626.82
10-05-2018	632.92
09-05-2018	636.00
08-05-2018	627.08
07-05-2018	621.36
04-05-2018	619.18
03-05-2018	617.69
02-05-2018	610.98
30-04-2018	605.74
27-04-2018	603.31
26-04-2018	603.16
25-04-2018	599.87
24-04-2018	600.58
23-04-2018	596.26
20-04-2018	594.42
19-04-2018	594.41
18-04-2018	595.82
17-04-2018	595.99
16-04-2018	595.45
13-04-2018	596.96
12-04-2018	599.2
11-04-2018	601.99
10-04-2018	604.54
09-04-2018	605.17
06-04-2018	602.71
05-04-2018	604.81
04-04-2018	603.66
03-04-2018	604.06
02-04-2018	603.39
29-03-2018	605.26
28-03-2018	605.65
27-03-2018	606.07
26-03-2018	608.14
23-03-2018	607.76
22-03-2018	607.23
21-03-2018	609.58
20-03-2018	609.39
19-03-2018	607.6
16-03-2018	603.54
15-03-2018	601.16
14-03-2018	602.19
13-03-2018	603.85
12-03-2018	603.56
09-03-2018	605.22
08-03-2018	601.91
07-03-2018	595.93
06-03-2018	600.51
05-03-2018	598.04
02-03-2018	596.15
01-03-2018	593.61
28-02-2018	589.15
27-02-2018	588.28
26-02-2018	591.56
23-02-2018	594.73
22-02-2018	594.7
