"","cste","Haar0.01","Haar0.02","Haar0.03","Haar0.04","Haar0.05","Haar0.06","Haar0.07","Haar0.08","Haar0.09","Haar0.1","Haar0.11","Haar0.12","Haar0.13","Haar0.14","Haar0.15","Haar0.16","Haar0.17","Haar0.18","Haar0.19","Haar0.2","Haar0.21","Haar0.22","Haar0.23","Haar0.24","Haar0.25","Haar0.26","Haar0.27","Haar0.28","Haar0.29","Haar0.3","Haar0.31","Haar0.32","Haar0.33","Haar0.34","Haar0.35","Haar0.36","Haar0.37","Haar0.38","Haar0.39","Haar0.4","Haar0.41","Haar0.42","Haar0.43","Haar0.44","Haar0.45","Haar0.46","Haar0.47","Haar0.48","Haar0.49","Haar0.5","Haar0.51","Haar0.52","Haar0.53","Haar0.54","Haar0.55","Haar0.56","Haar0.57","Haar0.58","Haar0.59","Haar0.6","Haar0.61","Haar0.62","Haar0.63","Haar0.64","Haar0.65","Haar0.66","Haar0.67","Haar0.68","Haar0.69","Haar0.7","Haar0.71","Haar0.72","Haar0.73","Haar0.74","Haar0.75","Haar0.76","Haar0.77","Haar0.78","Haar0.79","Haar0.8","Haar0.81","Haar0.82","Haar0.83","Haar0.84","Haar0.85","Haar0.86","Haar0.87","Haar0.88","Haar0.89","Haar0.9","Haar0.91","Haar0.92","Haar0.93","Haar0.94","Haar0.95","Haar0.96","Haar0.97","Haar0.98","Haar0.99","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","x","xx"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627905195293134,0.998026728428272,0.125333233564304,0.992114701314478,0.187381314585725,0.982287250728689,0.248689887164855,0.968583161128631,0.309016994374947,0.951056516295154,0.368124552684678,0.929776485888251,0.425779291565073,0.90482705246602,0.481753674101715,0.876306680043864,0.535826794978997,0.844327925502015,0.587785252292473,0.809016994374947,0.01,1e-04
"2",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125333233564304,0.992114701314478,0.248689887164855,0.968583161128631,0.368124552684678,0.929776485888251,0.481753674101715,0.876306680043864,0.587785252292473,0.809016994374947,0.684547105928689,0.728968627421412,0.770513242775789,0.63742398974869,0.844327925502015,0.535826794978997,0.90482705246602,0.425779291565073,0.951056516295154,0.309016994374947,0.02,4e-04
"3",1,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187381314585725,0.982287250728689,0.368124552684678,0.929776485888251,0.535826794978997,0.844327925502015,0.684547105928689,0.728968627421412,0.809016994374947,0.587785252292473,0.90482705246602,0.425779291565073,0.968583161128631,0.248689887164855,0.998026728428272,0.0627905195293135,0.992114701314478,-0.125333233564304,0.951056516295154,-0.309016994374947,0.03,9e-04
"4",1,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248689887164855,0.968583161128631,0.481753674101715,0.876306680043864,0.684547105928689,0.728968627421412,0.844327925502015,0.535826794978997,0.951056516295154,0.309016994374947,0.998026728428272,0.0627905195293133,0.982287250728689,-0.187381314585725,0.904827052466019,-0.425779291565073,0.770513242775789,-0.63742398974869,0.587785252292473,-0.809016994374947,0.04,0.0016
"5",1,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309016994374947,0.951056516295154,0.587785252292473,0.809016994374947,0.809016994374947,0.587785252292473,0.951056516295154,0.309016994374947,1,6.12323399573677e-17,0.951056516295154,-0.309016994374947,0.809016994374947,-0.587785252292473,0.587785252292473,-0.809016994374947,0.309016994374948,-0.951056516295154,1.22464679914735e-16,-1,0.05,0.0025
"6",1,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368124552684678,0.929776485888251,0.684547105928689,0.728968627421412,0.90482705246602,0.425779291565073,0.998026728428272,0.0627905195293135,0.951056516295154,-0.309016994374947,0.770513242775789,-0.63742398974869,0.481753674101716,-0.876306680043863,0.125333233564305,-0.992114701314478,-0.248689887164855,-0.968583161128631,-0.587785252292473,-0.809016994374947,0.06,0.0036
"7",1,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425779291565073,0.904827052466019,0.770513242775789,0.63742398974869,0.968583161128631,0.248689887164855,0.982287250728689,-0.187381314585725,0.809016994374947,-0.587785252292473,0.481753674101715,-0.876306680043864,0.0627905195293131,-0.998026728428272,-0.368124552684678,-0.929776485888251,-0.728968627421412,-0.684547105928689,-0.951056516295154,-0.309016994374948,0.07,0.0049
"8",1,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481753674101715,0.876306680043864,0.844327925502015,0.535826794978997,0.998026728428272,0.0627905195293133,0.904827052466019,-0.425779291565073,0.587785252292473,-0.809016994374947,0.125333233564304,-0.992114701314478,-0.368124552684678,-0.929776485888251,-0.770513242775789,-0.63742398974869,-0.982287250728689,-0.187381314585725,-0.951056516295154,0.309016994374947,0.08,0.0064
"9",1,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535826794978997,0.844327925502015,0.90482705246602,0.425779291565073,0.992114701314478,-0.125333233564304,0.770513242775789,-0.63742398974869,0.309016994374948,-0.951056516295154,-0.248689887164855,-0.968583161128631,-0.728968627421411,-0.684547105928689,-0.982287250728689,-0.187381314585725,-0.929776485888252,0.368124552684677,-0.587785252292473,0.809016994374947,0.09,0.0081
"10",1,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587785252292473,0.809016994374947,0.951056516295154,0.309016994374947,0.951056516295154,-0.309016994374947,0.587785252292473,-0.809016994374947,1.22464679914735e-16,-1,-0.587785252292473,-0.809016994374947,-0.951056516295154,-0.309016994374948,-0.951056516295154,0.309016994374947,-0.587785252292473,0.809016994374947,-2.44929359829471e-16,1,0.1,0.01
